name,pos,rank,value
Thomas Bryant,C,296,0
Jarred Vanderbilt,SF/PF,297,0
Kenrich Williams,SF,298,0
Liam McNeeley,SF,299,0
Jericho Sims,C,300,0
Zach Collins,C,301,0
Moritz Wagner,C,302,0
Tre Mann,PG/SG,303,0
Asa Newell,PF,304,0
Julian Strawther,SF,305,0
Leonard Miller,SF,306,0
D'Angelo Russell,PG/SG,307,0
Caleb Martin,SG,308,0
Mike Conley,PG,309,0
Ben Sheppard,SG/SF,310,0
Ben Simmons,PG,311,0
Taurean Prince,SF,312,0
Jonathan Mogbo,PF,313,0
Mark Williams,C,314,0
Marcus Sasser,PG,315,0
Jaden Hardy,SG,316,0
Johnny Furphy,SG,317,0
Jalen Wilson,PF,318,0
Jevon Carter,PG,319,0
Dorian Finney-Smith,PF,320,0
Rayan Rupert,SG,321,0
Josh Green,SG,322,0
Shaedon Sharpe,SG/SF,323,0
Steven Adams,C,324,0
Sidy Cissoko,SG,325,0
Jordan Hawkins,SG,326,0
Jaylen Clark,SG,327,0
Jett Howard,SF,328,0
Jordan McLaughlin,PG,329,0
Jonathan Isaac,PF,330,0
Dalton Knecht,SG/SF,331,0
Bronny James,PG/SG,332,0
Koby Brea,SG,333,0
Pat Connaughton,SG,334,0
Kobe Brown,PF,335,0
Mohamed Diawara,PF,336,0
Jae'Sean Tate,SF,337,0
Jase Richardson,SG,338,0
Gary Harris,SG,339,0
Jalen Pickett,PG/SG,340,0
Yang Hansen,C,341,0
Julian Phillips,SF,342,0
Pacome Dadiet,SF,343,0
Moses Moody,SG/SF,344,0
Charles Bassey,C,345,0
Johni Broome,PF,346,0
Donte DiVincenzo,PG/SG,347,0
Noa Essengue,PF,348,0
Chris Boucher,PF/C,349,0
Jordan Miller,SF,350,0
Gabe Vincent,PG,351,0
KJ Martin,SF,352,0
Dwight Powell,C,353,0
Spencer Dinwiddie,PG/SG,354,0
Cam Thomas,SG/SF,355,0
Andre Jackson Jr.,SG,356,0
Cameron Payne,PG,357,0
Delon Wright,PG,358,0
Dariq Whitehead,SF,359,0
Georges Niang,PF,360,0
Cole Anthony,PG/SG,361,0
Jeremiah Robinson-Earl,PF,362,0
Dalen Terry,SF,363,0
Cam Spencer,PG/SG,364,0
Jaden Ivey,PG/SG,365,0
Xavier Tillman,PF,366,0
Caleb Houstan,SF,367,0
Nick Richards,C,368,0
Dario Saric,PF,369,0
Cam Whitmore,SF/PF,370,0
Malaki Branham,SG,371,0
Jaylen Nowell,SG,372,0
Bruce Brown,SG/SF,373,0
Malcolm Brogdon,PG,374,0
Chris Paul,PG,375,0
Joe Ingles,SF,376,0
Maxi Kleber,PF,377,0
Kyle Lowry,PG,378,0
Lonzo Ball,PG/SG,379,0
Jeff Green,PF,380,0
Richaun Holmes,C,381,0
Nicolas Batum,PF,382,0
Eric Gordon,SG,383,0
Kevin Love,PF,384,0
Guerschon Yabusele,PF/C,385,0
Nigel Hayes-Davis,SF,386,0
Garrett Temple,SG,387,0
Hunter Tyson,SF,388,0
Quenton Jackson,PG/SG,389,0
Killian Hayes,PG,390,0
Gary Payton II,SG,391,0
Torrey Craig,PF,392,0
John Konchar,SG,393,0
Garrison Mathews,SG,394,0
Vasilije Micic,PG,395,0
Dante Exum,SG,396,0
Kobe Bufkin,PG,397,0
Ochai Agbaji,SF,398,0
Nick Smith Jr.,SG,399,0
Bol Bol,PF,400,0
Vince Williams Jr.,PG/SG,401,0
Aaron Holiday,PG,402,0
Alec Burks,SG,403,0
Jonas Valanciunas,C,404,0
Mason Plumlee,C,405,0
Drew Eubanks,C,406,0
Dalano Banton,PG,407,0
Kelly Olynyk,C,408,0
Russell Westbrook,PG,409,0
Terry Rozier,PG,410,0
Aday Mara,C,411,0
Dailyn Swain,SG/SF,412,0
Bennett Stirtz,PG/SG,413,0
Ebuka Okorie,PG/SG,414,0
Christian Anderson,PG/SG,415,0
Allen Graves,SF/PF,416,0
Jayden Quaintance,C,417,0
